mac,e_id_ssid,len_ssid,ssid,e_id_sup_rates,len_sup_rates,supported_rates,e_id_ext_sup_rates,len_ext_sup_rates,ext_sup_rates,e_id_dsss,len_dsss,dsss_parameter,e_id_ht_cap,len_ht_cap,ht_cap,e_id_ext_cap,len_ext_cap,ext_cap,e_id_vht_cap,len_vht_cap,vht_cap,e_id_vst,len_vst,vst,e_id_ext_tags,len_ext_tags,ext_tags,frame_check_seq,label
da:d4:58:f4:fa:0c,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000101,00101101,00011010,1010110100000001000100111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10111111,00001100,01111111,00001010,00000000000000000000101010000010000000000100000000000000000000000000000000000001,100100101111100110010001001100111111101011111111011000100000001111111010111111110110001000000011,11011101,00001000,0000000001010000111100100000100000000000001001110000000011011101000010100101000001101111100110100001011000000011000000010000000101100101000000010000000111011101000010001000110011111101111100000000000100000001000000100000000100000000,11111111,00000011,000000100000000000001110,11000111011001010111000000011111,XiaomiRedmiNote9S_T
da:d4:58:f4:fa:0c,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000101,00101101,00011010,1010110100000001000100111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10111111,00001100,01111111,00001010,00000000000000000000101010000010000000000100000000000000000000000000000000000001,100100101111100110010001001100111111101011111111011000100000001111111010111111110110001000000011,11011101,00001000,0000000001010000111100100000100000000000001001110000000011011101000010100101000001101111100110100001011000000011000000010000000101100101000000010000000111011101000010001000110011111101111100000000000100000001000000100000000100000000,11111111,00000011,000000100000000000001110,00000001000000100000000100000000,XiaomiRedmiNote9S_T
da:d4:58:f4:fa:0c,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000110,00101101,00011010,1010110100000001000100111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10111111,00001100,01111111,00001010,00000000000000000000101010000010000000000100000000000000000000000000000000000001,100100101111100110010001001100111111101011111111011000100000001111111010111111110110001000000011,11011101,00001000,0000000001010000111100100000100000000000001001110000000011011101000010100101000001101111100110100001011000000011000000010000000101100101000000010000000111011101000010001000110011111101111100000000000100000001000000100000000100000000,11111111,00000011,000000100000000000011111,10101111110000100100100110100000,XiaomiRedmiNote9S_T
da:d4:58:f4:fa:0c,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000110,00101101,00011010,1010110100000001000100111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10111111,00001100,01111111,00001010,00000000000000000000101010000010000000000100000000000000000000000000000000000001,100100101111100110010001001100111111101011111111011000100000001111111010111111110110001000000011,11011101,00001000,0000000001010000111100100000100000000000001001110000000011011101000010100101000001101111100110100001011000000011000000010000000101100101000000010000000111011101000010001000110011111101111100000000000100000001000000100000000100000000,11111111,00000011,000000100000000000001011,10010000001001011010111011011011,XiaomiRedmiNote9S_T
da:d4:58:f4:fa:0c,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000111,00101101,00011010,1010110100000001000100111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10111111,00001100,01111111,00001010,00000000000000000000101010000010000000000100000000000000000000000000000000000001,100100101111100110010001001100111111101011111111011000100000001111111010111111110110001000000011,11011101,00001000,0000000001010000111100100000100000000000001001110000000011011101000010100101000001101111100110100001011000000011000000010000000101100101000000010000000111011101000010001000110011111101111100000000000100000001000000100000000100000000,11111111,00000011,000000100000000000001011,01110101101010101100001010111101,XiaomiRedmiNote9S_T
da:d4:58:f4:fa:0c,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001000,00101101,00011010,1010110100000001000100111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10111111,00001100,01111111,00001010,00000000000000000000101010000010000000000100000000000000000000000000000000000001,100100101111100110010001001100111111101011111111011000100000001111111010111111110110001000000011,11011101,00001000,0000000001010000111100100000100000000000001001110000000011011101000010100101000001101111100110100001011000000011000000010000000101100101000000010000000111011101000010001000110011111101111100000000000100000001000000100000000100000000,11111111,00000011,000000100000000000000111,10010000001110010110101100010100,XiaomiRedmiNote9S_T
da:d4:58:f4:fa:0c,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001001,00101101,00011010,1010110100000001000100111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10111111,00001100,01111111,00001010,00000000000000000000101010000010000000000100000000000000000000000000000000000001,100100101111100110010001001100111111101011111111011000100000001111111010111111110110001000000011,11011101,00001000,0000000001010000111100100000100000000000001001110000000011011101000010100101000001101111100110100001011000000011000000010000000101100101000000010000000111011101000010001000110011111101111100000000000100000001000000100000000100000000,11111111,00000011,000000100000000000001011,11000000010101001110001001110010,XiaomiRedmiNote9S_T
da:d4:58:f4:fa:0c,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001011,00101101,00011010,1010110100000001000100111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10111111,00001100,01111111,00001010,00000000000000000000101010000010000000000100000000000000000000000000000000000001,100100101111100110010001001100111111101011111111011000100000001111111010111111110110001000000011,11011101,00001000,0000000001010000111100100000100000000000001001110000000011011101000010100101000001101111100110100001011000000011000000010000000101100101000000010000000111011101000010001000110011111101111100000000000100000001000000100000000100000000,11111111,00000011,000000100000000000011111,00000001000000100000000100000000,XiaomiRedmiNote9S_T
da:d4:58:f4:fa:0c,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001011,00101101,00011010,1010110100000001000100111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10111111,00001100,01111111,00001010,00000000000000000000101010000010000000000100000000000000000000000000000000000001,100100101111100110010001001100111111101011111111011000100000001111111010111111110110001000000011,11011101,00001000,0000000001010000111100100000100000000000001001110000000011011101000010100101000001101111100110100001011000000011000000010000000101100101000000010000000111011101000010001000110011111101111100000000000100000001000000100000000100000000,11111111,00000011,000000100000000000001011,00000001000000100000000100000000,XiaomiRedmiNote9S_T
4a:54:8e:ed:4d:bd,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000001,00101101,00011010,1010110100000001000100111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10111111,00001100,01111111,00001010,00000000000000000000101010000010000000000100000000000000000000000000000000000001,100100101111100110010001001100111111101011111111011000100000001111111010111111110110001000000011,11011101,00001000,0000000001010000111100100000100000000000001001110000000011011101000010100101000001101111100110100001011000000011000000010000000101100101000000010000000111011101000010001000110011111101111100000000000100000001000000100000000100000000,11111111,00000011,000000100000000000011111,01101011100011110001100010010011,XiaomiRedmiNote9S_T
